LC-OA,LC-AZFc,LC-INOA_B,LC-KS,LC_INOA_S
NREP,KRT19,SSU72,BZW1,ANO6
MLEC,CERS2,TMEM159,MXRA8,DDR2
SNTB2,45914,CTSB,SRSF9,AMZ2
DCTN6,BCLAF3,KDELR1,SLC16A7,CTGF
ZCCHC14,SERPINE2,ZBED5-AS1,FGF10,CENPH
AKAP7,DUT,DHRS7B,SMOC2,FAM13B
KRT18,DEXI,EMB,PPA1,MGP
CUL3,RNPS1,VSTM4,RABIF,KMT2A
NSG1,CTSV,MMADHC,PLS3,SELENOM
SUMF2,NOL7,GMPR,TSKU,NDUFA8
MGARP,FAM92A,ACP1,EPS8,PIGP
PDCD4,ACE2,AZIN1,LDHC,LSM4
RBM39,CD59,ERICH2,IFITM2,STN1
KCTD3,PABPC1,BNIP3L,SECISBP2,VAMP5
PCMTD2,POLR2E,NPC2,SNX24,MARCKSL1
FBLN5,RGS5,CALD1,SNED1,BNIP3L
CPM,POGZ,SFT2D1,COMMD10,EGR1
OCRL,UXT,HAX1,RGS2,TCEAL7
ZNF275,RAB3IP,TFG,G0S2,EXTL2
C1S,HSF2,TUBG1,PSMA7,UBAP2
ECM2,PPP1R7,AHSA1,CYP1B1,VSTM4
COX7A2,SERINC3,PHYHD1,MTCH2,ACAT1
SERINC5,SPACA9,MFGE8,SNHG5,ADI1
KCNMB1,MAGEA4,ALDH2,PON2,TOMM34
TMEM109,TAGLN,TALDO1,ATP5PB,LEPROT
SELENOK,EPS8,AGTRAP,GMPR,PAPSS2
BPHL,GKAP1,PUF60,NENF,COX17
CKS2,HACD2,TCEAL7,RAMP2,TRIM24
TUBA1A,KLF6,TM2D3,HIST1H1C,C12orf57
WISP2,TSPAN4,PYCR2,PTP4A1,ISOC1
SMIM29,SLC25A5,TMEM9,GSTA4,ORC5
AMHR2,RAB1B,ABHD6,ISOC1,PDHB
PDK2,CALCOCO2,TMEM14A,CYP51A1,TCEA3
GBP1,NGLY1,CISD2,TEX30,JUNB
SMIM27,CLDN1,LEPROT,DEXI,KANK2
