EC-OA,EC-AZFc,EC-INOA_B,EC-KS,EC_INOA_S
,GALNT15,S100A6,C6orf99,AL451165.2
,TMCO5B,TMEM120A,PECAM1,FAM13C
,DGCR6L,TRAPPC3,LTBP4,REXO5
,EIF5A2,CHMP5,MMP28,CAVIN1
,CCDC179,DCAF1,FGFR1,BCAM
,DANCR,HES1,FCGRT,MSN
,TMEM210,HDLBP,CCDC136,KLF13
,NACA,EIF6,ATP5F1B,ITGA1
,CSNKA2IP,PRM3,PIK3R3,CCDC7
,POLR3C,SPEM2,BCL2L14,PDGFD
,CFAP43,LINC02189,SPATA46,CTNNA3
,LINC01723,AC109635.4,AP2M1,UTRN
,SPANXB1,TMED5,ERAP2,RNF138
,TPM4,SELP,TMCO5B,FAM104A
,PP2D1,ORMDL1,SPZ1,CD36
,CYB5R2,ADAD1,CCDC179,SYNE2
,SPATA4,ISG20L2,ZNF683,APOA1
,MS4A5,TUBA4A,VAMP2,PCYT2
,ATP5MD,ESAM,MS4A5,CCDC126
,CYB5R4,NUTF2,ODF3L2,CAV2
,SRPK2,CLDND1,RFPL3S,RAMP3
,PRDX2,MOSPD3,CTNNA3,CD2AP
,IL1R1,JAM2,SPATA12,AKAP1
,SAMHD1,DRAM2,FIS1,SPATA6
,KRIT1,MTX2,GPRC5B,FCMR
,BACH1,IQGAP2,F8,C2orf73
,PCAT6,DYNLRB2,UBXN1,CFAP43
,NDUFB1,EHD4,FAM229A,AMZ2
,ACTG1,PSAP,PDCL2,TUBG1
,KDELR1,GORASP2,VSIR,CCSER2
,ATP5MG,PRCP,LINC00927,PLPP3
,UBE2N,LGALS1,AC135977.1,UBC
,COL1A2,DDOST,RNF32,FAM107A
,RABIF,HSPA4L,LINC01723,LMNA
,45912,GPBP1L1,TUBA1C,OSER1
,CLIP1,TIMMDC1,DUSP23,PTP4A1
,CALM2,PPM1G,LRRFIP1,EHD1
,MIR202HG,LAPTM4B,CAPNS1,COL1A2
,SERPING1,HAGLR,SPANXN3,SEMA6D
,THSD7A,ELP5,CD34,TMSB4XP4
,SLIT2-IT1,YPEL1,DOC2A,WASHC3
,MACROD2-AS1,AKAP3,C5orf52,RNF38
,AC006012.1,ADIG,PDHA2,TLE4
