Immue-OA,Immue-AZFc,Immue-INOA_B,Immue-KS,Immue-INOA_S
,,,,LINC01781
,,,,INAVA
,,,,LINC00343
,,,,LINC00445
,,,,TRPV6
,,,,AL772363.1
,,,,AL359317.1
,,,,LINC01986
,,,,LINC01766
,,,,AC125793.1
,,,,AC126323.3
,,,,LINC02060
,,,,AC008567.2
,,,,AC008694.1
,,,,PLA2G4E-AS1
,,,,PLCB1-IT1
,,,,AC092783.1
,,,,FSD2
,,,,LINC01988
,,,,RSPH9
,,,,AC053481.3
,,,,AC053503.4
,,,,AC055764.1
,,,,AP000919.4
,,,,AP000943.2
,,,,AC012050.1
,,,,DCST1
,,,,LINC00305
,,,,LHFPL3-AS2
,,,,NKAIN2
,,,,AC105389.2
,,,,LINC00358
,,,,LINC00366
,,,,FSTL5
,,,,LHX2
,,,,LINC00448
,,,,LINC00564
,,,,LINC00308
,,,,AL355499.1
,,,,GFRA3
,,,,REC114
,,,,AC073333.1
,,,,CTAGE11P
,,,,CTAGE13P
,,,,AC011467.6
,,,,AC073358.1
,,,,TBX5-AS1
,,,,RDH12
,,,,GOLGA6D
,,,,GOLGA8DP
,,,,AC011195.2
,,,,AC011287.1
,,,,AC069235.1
,,,,AC069444.1
,,,,AC069503.3
,,,,RGSL1
,,,,AC073429.2
,,,,IL12A-AS1
,,,,AGGF1P8
,,,,CD40LG
,,,,LINC00392
,,,,AC073130.1
,,,,AL356124.2
,,,,LINC00395
,,,,LINC00424
,,,,LINC00570
,,,,AC005099.1
,,,,AGGF1P7
,,,,GGNBP1
,,,,GGT2
,,,,GGTLC1
,,,,AL356234.2
,,,,GCKR
,,,,RF00568-9
,,,,RF02271-20
,,,,RF00019-566
,,,,LINC00578
,,,,AL136529.1
,,,,AC091951.1
,,,,GCNT3
,,,,TEX47
,,,,GOLGA6A
,,,,RBMXL3
,,,,AL136537.2
,,,,AC092042.1
,,,,RHBDF1P1
,,,,TFAP2B
,,,,THAP12P8
,,,,AL354984.1
,,,,AC073529.1
,,,,CTAG2
,,,,GK3P
,,,,CTRC
,,,,TEX19
,,,,AC010733.1
,,,,AC010894.4
,,,,ADAM5
,,,,GMCL2
,,,,GMNC
,,,,LINC01598
,,,,LINC01603
,,,,AC116424.1
,,,,LINC01607
,,,,AL136981.1
,,,,AL137078.2
,,,,HSPA8P5
,,,,CLCN1
,,,,AL135923.2
,,,,GLT6D1
,,,,LINC01646
,,,,HTR5BP
,,,,HTRA4
,,,,HSP90AA4P
,,,,AC092159.1
,,,,HRH4
,,,,HOXB5
,,,,PKHD1
,,,,PKMP3
,,,,AC092447.5
,,,,IFITM10
,,,,IFT74-AS1
,,,,CIB4
,,,,AC008700.1
,,,,AC008708.2
,,,,AL133467.2
,,,,TRIM17
,,,,CHRNB2
,,,,PMCHL2
,,,,AC069114.1
,,,,AC107081.1
,,,,AC092296.1
,,,,AC092384.1
,,,,AC092447.1
,,,,PLCE1-AS2
,,,,AC008747.1
,,,,LINC01728
,,,,Z98257.2
,,,,Z98259.1
,,,,ZBTB32
,,,,AC120024.1
,,,,AC067942.1
,,,,RNU6-1099P
,,,,TCERG1L
,,,,TCL1A
,,,,AL132712.1
,,,,AP001160.4
,,,,AP001178.2
,,,,RF00019-181
,,,,CUX2
,,,,RHOQP3
,,,,AL356750.1
,,,,AL357314.1
,,,,GAB4
,,,,AC092131.1
,,,,RHPN1-AS1
,,,,Z99916.1
,,,,TCP10
,,,,TEK
,,,,CYP11B1
,,,,CYP17A1-AS1
,,,,CYP19A1
,,,,AGR2
,,,,LINC00454
,,,,IGHV3-49
,,,,TERB1
,,,,TERB2
,,,,AC011365.1
,,,,AC011389.3
,,,,LINC00393
,,,,AC008780.2
,,,,AC006042.2
,,,,VN1R34P
,,,,CD160
,,,,AL356218.1
,,,,AC117460.1
,,,,MORC2-AS1
,,,,BCL2L15
,,,,LINC01553
,,,,LINC01568
,,,,TEX13A
,,,,RFX6
,,,,Z97205.2
,,,,MMP20
,,,,Z99129.3
,,,,MIR3976HG
,,,,ADAM30
,,,,MPC1L
,,,,MMP7
,,,,AC073188.2
,,,,GATA2-AS1
,,,,GALNT5
,,,,AL355997.1
,,,,Z98949.1
,,,,MMP21
,,,,IFT172
,,,,DOPEY2
,,,,GARS
,,,,BZW1
,,,,DICER1
,,,,DHX37
,,,,ACADM
,,,,RAB42
,,,,ASCC1
,,,,BLM
,,,,SRPRB
,,,,GFRA2
,,,,CRYZL2P
,,,,YWHAB
,,,,NUF2
,,,,IFT22
,,,,IL6ST
,,,,ABCG1
,,,,SBNO2
,,,,NAA38
,,,,SPAG5
,,,,GLRX
,,,,ZNF675
,,,,AL445524.1
,,,,PIGV
,,,,TADA3
,,,,PPP1R1C
,,,,AC093484.4
,,,,SRP54
,,,,CCDC62
,,,,NIPA1
,,,,ECHDC1
,,,,CTNNA2
,,,,FCGR3A
,,,,HIST1H2BB
,,,,RSL1D1
,,,,NOP14
,,,,FXR1
,,,,SH3GLB1
,,,,GDPD3
,,,,STPG1
,,,,UAP1L1
,,,,HIST1H2BI
,,,,TRIM3
,,,,XKR6
,,,,KIAA2013
,,,,GAA
,,,,AMDHD2
,,,,CCDC144CP
,,,,ORMDL2
,,,,TMBIM1
,,,,MOSPD3
,,,,MPDU1
,,,,EFL1
,,,,CARD8-AS1
,,,,ESYT1
,,,,NCKAP1L
,,,,SUSD6
,,,,H2AFJ
,,,,ERLIN1
,,,,COPB1
,,,,GLB1
,,,,HAUS1
,,,,PRKCE
,,,,PLA1A
,,,,VSIR
,,,,C2orf88
,,,,PHF20
,,,,BEX5
,,,,SMIM26
,,,,SCIN
,,,,SNRPB
,,,,HM13
,,,,NFE2L3
,,,,DYNC1LI2
,,,,SYNJ1
,,,,TRAPPC2L
,,,,OGFRL1
,,,,ASB9
,,,,CHP1
,,,,AP3S1
,,,,SENP7
,,,,BTG3
,,,,PRDX3
,,,,ITPRIP
,,,,DPCD
,,,,ZC2HC1C
,,,,ARSB
,,,,ATP6V0D1
,,,,AC078881.1
,,,,GPX3
,,,,CXCL10
,,,,SYK
,,,,TCHH
,,,,GPR137B
,,,,ARHGAP15
,,,,TMEM91
,,,,NDFIP1
,,,,PVT1
,,,,CATSPERG
,,,,TMEM191C
,,,,ADHFE1
,,,,RBM43
,,,,DPT
,,,,TBX22
,,,,NEK7
,,,,FXYD5
,,,,RAB32
,,,,USP13
,,,,TRPS1
,,,,RALBP1
,,,,SRI
,,,,GAB2
,,,,HSPA6
,,,,SLC2A3
,,,,NUDT2
,,,,PTPN12
,,,,CAMK1D
,,,,SMIM1
,,,,C1orf131
,,,,SVBP
,,,,IFNGR2
,,,,COL6A3
,,,,SLC25A19
,,,,SMOC1
,,,,DKK3
,,,,POU2AF1
,,,,HIPK2
,,,,NFKBIA
,,,,CYP20A1
,,,,SUB1P1
,,,,AL590139.1
,,,,CTTN
,,,,NDUFAB1
,,,,CHCHD2P6
,,,,LACTB
,,,,AC007495.1
,,,,MMRN2
,,,,AC087752.3
,,,,MSTO2P
,,,,FSIP1
,,,,P4HA1
,,,,RARRES1
,,,,MTCYBP18
,,,,AC138627.1
,,,,ANKHD1-EIF4EBP3
,,,,ESCO1
,,,,CCNB1
,,,,PRKCZ
,,,,FZD1
,,,,SLC25A36
,,,,RNF7
,,,,EFCAB1
,,,,ATP5MD
,,,,SNX1
,,,,HTATIP2
,,,,AC005614.1
,,,,CTNNBIP1
,,,,AL359643.3
,,,,LRRC25
,,,,C5orf58
,,,,TPD52L2
,,,,GRID2
,,,,TM9SF3
,,,,SDC3
,,,,TCEAL4
,,,,ZFAND5
,,,,CTSL
,,,,CTTNBP2
,,,,MYH3
,,,,ZNF595
,,,,NXF3
,,,,CTTNBP2NL
,,,,ATP1B1
,,,,TLR7
,,,,GPR160
,,,,TXNDC16
,,,,UBR3
,,,,FAM96A
,,,,KIDINS220
,,,,CD52
,,,,PARVA
,,,,MYLK3
,,,,IGF2BP3
,,,,TCF4
,,,,LINC00324
,,,,ARHGEF26
,,,,SH3KBP1
,,,,RNF157
,,,,UQCRH
,,,,COQ5
,,,,REV3L
,,,,SRSF6
,,,,NDUFB8
,,,,USP36
,,,,TAF1D
,,,,EHHADH
,,,,YES1
,,,,FCER1A
,,,,HMGXB4
,,,,EGFR
,,,,MT-CO2
,,,,F8
,,,,GRB14
,,,,TNS3
,,,,SMIM10
,,,,TLR3
,,,,RALA
,,,,WIPF3
,,,,HMGCS2
,,,,PRRC2B
,,,,UBQLN2
,,,,SFRP1
,,,,NRP2
,,,,OSR2
,,,,ERV3-1
,,,,PLA2G2D
,,,,ASH1L
,,,,CCT7
,,,,PID1
,,,,HIST1H4E
,,,,ATIC
,,,,ACSL3
,,,,HDGF
,,,,MAPRE3
,,,,LAP3
,,,,TNFRSF17
,,,,RETREG1
,,,,TNFAIP3
,,,,CIPC
,,,,MAP1LC3B
,,,,MAP2K1
,,,,AC103591.3
,,,,KATNAL2
,,,,GSTA2
,,,,DHCR7
,,,,GPRIN3
,,,,BIN1
,,,,CLIP1
,,,,SLC26A2
,,,,FUT11
,,,,NDUFA6
,,,,FBXO9
,,,,JAM2
,,,,FAM69A
,,,,HFE
,,,,RGS22
,,,,CNOT6L
,,,,ANKRD36BP2
,,,,ACAD10
,,,,MLF2
,,,,IGHV2-26
,,,,PYCARD
,,,,DCP1A
,,,,TNFAIP8
,,,,LINC01736
,,,,GYPC
,,,,HPS1
,,,,BRCA2
,,,,IRAK3
,,,,PPP1R11
,,,,COL3A1
,,,,ASPH
,,,,SCAF11
,,,,IPO8
,,,,RAC2
,,,,COX7A1
,,,,MMP2-AS1
,,,,MPEG1
,,,,VWA5A
,,,,FAM212A
,,,,GSTA4
,,,,DDIT3
,,,,GNAQ
,,,,IGHM
,,,,P2RY10
,,,,TMTC2
,,,,LITAF
,,,,EMC8
,,,,ATG4C
,,,,PAPSS1
,,,,OSBPL11
,,,,PSMD8
,,,,PDS5A
,,,,MAMDC2
,,,,USB1
,,,,SPOCK1
,,,,SETD2
,,,,DNAJB11
,,,,ACAP1
,,,,EFCAB14
,,,,COL6A2
,,,,MTCO3P17
,,,,TSPYL2
,,,,TAF11
,,,,SERP2
,,,,LRRC37A16P
,,,,MYDGF
,,,,ATP5F1C
,,,,CXADR
,,,,S100Z
,,,,RF00003-3
,,,,GPC1
,,,,DEAF1
,,,,KCNAB2
,,,,TSFM
,,,,AC079305.1
,,,,FBXW5
,,,,TPR
,,,,TRIM47
,,,,CD1B
,,,,XPO1
,,,,TCEAL6
,,,,MIB1
,,,,GAS5
,,,,SFRP4
,,,,KCNE1
,,,,ERLIN2
,,,,ALDH2
,,,,AC060766.7
,,,,EXOSC5
,,,,NDN
,,,,MAPK3
,,,,SEM1
,,,,ABLIM3
,,,,DBP
,,,,OSM
,,,,SLC23A2
,,,,FAM118A
,,,,MSH2
,,,,PURB
,,,,ELOA
,,,,IL32
,,,,KLF4
,,,,CMC2
,,,,HLA-DMB
,,,,SPCS2
,,,,HMOX2
,,,,ATM
,,,,45906
,,,,ELOB
,,,,AC005912.1
,,,,PMEPA1
,,,,BORCS5
,,,,USP12
,,,,KRBOX1
,,,,ST3GAL1
,,,,ST13
,,,,PSMB6
,,,,CDC123
,,,,ASAP1
,,,,ZNF26
,,,,NDNF
,,,,ALG8
,,,,DLGAP2
,,,,AC004656.1
,,,,BPI
,,,,NCKAP5
,,,,ADAMTS2
,,,,KBTBD8
,,,,PDK1
,,,,SFXN1
,,,,MIR193BHG
,,,,RFC5
,,,,AC087241.3
,,,,PCYT2
,,,,NME5
,,,,IKZF3
,,,,C1R
,,,,S100A16
,,,,PARK7
,,,,TRPC5OS
,,,,BAK1
,,,,LUC7L3
,,,,EIF4A1P10
,,,,TRIB1
,,,,NAV2
,,,,C4BPB
,,,,APH1A
,,,,MMP15
,,,,STAT6
,,,,UBA52
,,,,CLEC2D
,,,,PDHB
,,,,ZNF254
,,,,TRA2A
,,,,AL118516.1
,,,,SEC24D
,,,,STEAP4
,,,,AC092809.2
,,,,EVL
,,,,TMSB4X
,,,,SUN1
,,,,NUP88
,,,,TSPAN6
,,,,PHGDH
,,,,AD000864.1
,,,,ARPC4
,,,,SMOC2
,,,,EIF4EBP1
,,,,UBL3
,,,,ANKRD17
,,,,ZNF275
,,,,PPP1R14B
,,,,PLEKHA3
,,,,DUSP23
,,,,VPS26C
,,,,EIF4A1
,,,,ACOT2
,,,,DDAH1
,,,,ALG10B
,,,,MS4A1
,,,,SH3GLB2
,,,,SCP2
,,,,WNK1
,,,,BTN3A2
,,,,PSMF1
,,,,NLRX1
,,,,TBCC
,,,,AC005288.1
,,,,PLSCR4
,,,,CUL4A
,,,,USP22
,,,,SYNE1
,,,,C7orf31
,,,,USP15
,,,,TMEM192
,,,,TRBC2
,,,,PAG1
,,,,ZCCHC3
,,,,AC010173.1
,,,,CATSPER1
,,,,SLC38A6
,,,,CLEC7A
,,,,HCST
,,,,SNRPD3
,,,,TECR
,,,,HMBOX1
,,,,PAK3
,,,,KCTD13
,,,,KIF11
,,,,GPR107
,,,,MACC1
,,,,AGO2
,,,,CTPS1
,,,,UNC5B
,,,,GIMAP4
,,,,ATP6AP1
,,,,CD180
,,,,TPTE2P3
,,,,TNNC1
,,,,SLC1A2
,,,,SIX1
,,,,SLC16A8
,,,,CNTN5
,,,,AL139353.2
,,,,CXorf36
,,,,HPD
,,,,ACHE
,,,,ART3
,,,,AGMO
,,,,SYBU
,,,,LINC00158
,,,,AC011447.7
,,,,AC136469.2
,,,,RBM17P4
,,,,IGFBP7-AS1
,,,,KY
,,,,PNMA6A
,,,,AC011008.1
,,,,AC022784.1
,,,,NRXN3
,,,,SRPK1
,,,,KLHL6
,,,,CDO1
,,,,NT5C3A
,,,,AC009220.1
,,,,AC078899.1
,,,,ATOH8
,,,,ROPN1L-AS1
,,,,TPTE2
,,,,CBLN1
,,,,CR589904.1
,,,,HSPB9
,,,,ANKRD53
,,,,MEIG1
,,,,ZC3H11B
,,,,AL390955.2
,,,,SHBG
,,,,AC093535.1
,,,,CCDC73
,,,,DUSP21
,,,,LINC01224
,,,,ABLIM2
,,,,LHX6
,,,,POTEH
,,,,FOXP1-AS1
,,,,AF131216.4
,,,,SUB1P3
,,,,MAP3K20-AS1
,,,,ZIM2
,,,,AC090970.2
,,,,PCSK4
,,,,AC012313.3
,,,,SYNCRIP
,,,,AP001432.1
,,,,AC092117.1
,,,,CATSPER3
,,,,BVES-AS1
,,,,AC080162.1
,,,,RIPPLY2
,,,,C7orf61
,,,,SSPO
,,,,LINC01060
,,,,VASH1
,,,,PSMB2
,,,,AC231533.2
,,,,TCP1
,,,,LSAMP
,,,,DRG1
,,,,INHA
,,,,ZBTB41
,,,,MYH11
,,,,PA2G4
,,,,ALDH3B1
,,,,CIR1
,,,,MAPKAPK3
,,,,FAM135A
,,,,SPTBN1
,,,,KIAA1211
,,,,LTBR
,,,,SRA1
,,,,YARS
,,,,WASHC5
,,,,SLC41A1
,,,,UBE2E3
,,,,CIB1
,,,,PUS7
,,,,RPN2
,,,,NKX3-1
,,,,HELB
,,,,ZNF318
,,,,GSPT2
,,,,P2RX1
,,,,PARP4
,,,,ZP3
,,,,SMPDL3A
,,,,MT1G
,,,,PFDN5
,,,,UBAP2
,,,,KIF14
,,,,ODF2L
,,,,DGLUCY
,,,,AC239800.2
,,,,ITGA8
,,,,FAM30A
,,,,CST9L
,,,,C16orf54
,,,,C2orf49
,,,,ZNF217
,,,,IRF4
,,,,CACNA2D3
,,,,MAP4K2
,,,,LTBP4
,,,,MIEN1
,,,,SUSD3
,,,,NDUFV1
,,,,ADAMDEC1
,,,,TUBB6
,,,,PPIL3
,,,,NR6A1
,,,,LSM10
,,,,MAD2L1
,,,,KIF15
,,,,ANXA2P2
,,,,PDCD5
,,,,COL1A1
,,,,SERINC5
,,,,ALS2
,,,,LUC7L
,,,,TIMM13
,,,,TBL1XR1
,,,,SNX12
,,,,COX7A2L
,,,,PDGFRA
,,,,ITGB8
,,,,CES3
,,,,FOSL1
,,,,AGAP12P
,,,,CCDC96
,,,,DNAH12
,,,,DMPK
,,,,AC025263.1
,,,,NEURL1
,,,,LPCAT3
,,,,SOAT1
,,,,CD300E
,,,,SFMBT2
,,,,AP000936.1
,,,,TSSK4
,,,,HIST2H4A
,,,,EIF3J
,,,,MEGF11
,,,,TUBA3D
,,,,MAVS
,,,,AC233279.1
,,,,ASIC3
,,,,NDUFA13
,,,,ING4
,,,,PBDC1
,,,,MPV17
,,,,PELI2
,,,,CYP27A1
,,,,IGFBP6
,,,,PM20D2
,,,,PLOD1
,,,,NEFH
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
