Immue-OA,Immue-AZFc,Immue-INOA_B,Immue-KS,Immue-INOA_S
HJURP,CD163L1,LAMP1,MED12L,MFAP3L
MGAT4B,GAS6,ALOX5,PLD4,RAB31
MAN2B2,SNHG5,EVI2B,CCDC107,SKAP2
ACAA1,PROCA1,TMOD3,SPTLC2,DCN
GAS2L1,BPIFA3,ASAH1,CALD1,IL13RA1
KBTBD8,SCRG1,SEC11A,CPPED1,ZNF571-AS1
CALU,DRAM1,GAS5,LEMD1,ZYX
PMM1,FYB1,NDUFV3,DOCK11,SPATA17
SRF,EPHX1,ABRACL,CANX,AL133499.1
TXNIP,MALAT1,MMP14,BLVRB,LINC02109
STX11,PRDX2,C6orf48,IFNG,C1orf185
MASTL,TMEM179B,GIMAP2,HNRNPA0,RNF17
TSHZ2,HIST1H4I,CD14,ZCCHC2,ASB17
AC008074.3,EPPIN,SON,IRF1,CFAP100
BBOF1,RASGEF1B,CLTA,MZT2B,LYZL4
NFATC1,LTA4H,EIF3H,MTPN,TMEM210
FDPS,TPM3,ORMDL1,HDLBP,PDSS1P2
HBEGF,SP100,TMED2,CTGF,TMEM270
PPIB,NQO2,PRCP,OAZ3,FAM71B
AES,AC025164.1,GYG1,CRIP2,AC140479.4
TOR3A,ACTR3,DYNLL1,XCL2,LINC01492
PRDX2,SOX9,VPS35,MT-RNR1,FGF14-AS1
ABCA1,TSPAN16,HINT1,TNFAIP3,MAGEA4
CFD,NUMA1,RAB5C,PAXX,LINC01255
PLXND1,NDUFA2,TMED9,NUPR2,SHCBP1L
NT5DC1,TBXAS1,CDC42,PIK3AP1,LINC00293
LGMN,CXCL12,SDHC,ACTR3,TXNDC8
DOK2,NHP2,EGR2,DMXL2,MS4A6E
C8orf59,USP22,NDUFS2,KMT2E-AS1,SPACA1
TBC1D10B,TM6SF1,TAF9,B2M,DRAM1
SOX5,RAC2,SRI,CD7,NOP10
KIF1B,STK24,PSMA1,IGFBP6,CD63
