ST-OA,ST-AZFc,ST-INOA_B,ST-KS,ST-INOA_S
MID1IP1,SNHG8,DPP7,HDGFL1,PRSS12
EPHA7,USP34,LMAN2,ARL8A,HIST1H4E
EMP3,ATG101,TNFRSF12A,IZUMO4,STMP1
DHCR7,ENO1,SEC13,ROMO1,PRKACB
HLTF,PTGDS,BSG,GPRC5B,SGK1
PDXK,CHMP1B,TMBIM6,CRNDE,SRSF7
RNF139,CD74,EPHX1,MT-TR,ABI2
CMTM6,OPN3,TPM3,PAIP2,TTLL7
MRO,ROPN1L,VPS35,COX7A2,BBX
TMEM123,ZFAS1,FBLN2,DYNLRB2,MYO1B
ZC3H7B,COMMD6,CD99,CST9L,DRAP1
DMRT1,RANGRF,TAPBP,AC010642.2,MBNL2
ESPN,SNHG25,MT-TC,ORMDL2,SNX7
FAM221A,RABGGTB,NPM1,FBXW5,NAA50
SEM1,GLO1,SERINC3,C1orf43,NFKBIA
KIAA1217,LEMD1,PHLDA1,JTB,SLC1A5
M6PR,CTSV,NUDT10,AQP5,ING1
